point_cloud_resolution,point_cloud_area_to_digest,filtering,
0.15,749.383963,0.054797,
0.15,749.383963,0.055483,
0.15,749.383963,0.057161,
0.15,749.383963,0.054913,
0.15,749.383963,0.063135,
0.15,749.383963,0.05281,
0.15,749.383963,0.055353,
0.15,749.383963,0.056529,
0.15,749.383963,0.054931,
0.15,749.383963,0.057701,
0.15,749.383963,0.053852,
0.15,749.383963,0.055422,
0.15,749.383963,0.05581,
0.15,749.383963,0.053693,
0.15,749.383963,0.05585,
0.15,749.383963,0.055977,
0.15,749.383963,0.056,
0.15,749.383963,0.054123,
0.15,749.383963,0.052853,
0.15,749.383963,0.05605,
0.15,749.383963,0.055718,
0.15,749.383963,0.05567,
0.15,749.383963,0.054405,
0.15,749.383963,0.05549,
0.15,749.383963,0.054204,
0.15,749.383963,0.056928,
0.15,749.383963,0.055771,
0.15,749.383963,0.064592,
0.15,749.383963,0.07346,
0.15,749.383963,0.058587,
0.15,749.383963,0.0597,
0.15,749.383963,0.055721,
0.15,749.383963,0.053493,
0.15,749.383963,0.055581,
0.15,749.383963,0.056535,
0.15,749.383963,0.058253,
0.15,749.383963,0.057875,
0.15,749.383963,0.059511,
0.15,749.383963,0.059086,
0.15,749.383963,0.059033,
0.15,749.383963,0.057988,
0.15,749.383963,0.055965,
0.15,749.383963,0.056315,
0.15,749.383963,0.057479,
0.15,749.383963,0.057591,
0.15,749.383963,0.056562,
0.15,749.383963,0.058967,
0.15,749.383963,0.059038,
0.15,749.383963,0.056601,
0.15,749.383963,0.057863,
0.15,749.383963,0.05984,
0.15,749.383963,0.059527,
0.15,749.383963,0.058078,
0.15,749.383963,0.060279,
0.15,749.383963,0.053589,
0.15,749.383963,0.060014,
0.15,749.383963,0.059771,
0.15,749.383963,0.058828,
0.15,749.383963,0.058469,
0.15,749.383963,0.057678,
0.15,749.383963,0.053127,
0.15,749.383963,0.05692,
0.15,749.383963,0.055838,
0.15,749.383963,0.058169,
0.15,749.383963,0.057099,
0.15,749.383963,0.059855,
0.15,749.383963,0.055963,
0.15,749.383963,0.053291,
0.15,749.383963,0.057384,
0.15,749.383963,0.059254,
0.15,749.383963,0.056051,
0.15,749.383963,0.0566,
0.15,749.383963,0.05805,
0.15,749.383963,0.058579,
0.15,749.383963,0.055817,
0.15,749.383963,0.05813,
0.15,749.383963,0.057681,
0.15,749.383963,0.058067,
0.15,749.383963,0.066783,
0.15,749.383963,0.057749,
0.15,749.383963,0.057634,
0.15,749.383963,0.055718,
0.15,749.383963,0.056063,
0.15,749.383963,0.057318,
0.15,749.383963,0.058096,
0.15,749.383963,0.058499,
0.15,749.383963,0.055176,
0.15,749.383963,0.055481,
0.15,749.383963,0.057666,
0.15,749.383963,0.05941,
0.15,749.383963,0.05812,
0.15,749.383963,0.057467,
0.15,749.383963,0.057494,
0.15,749.383963,0.056743,
0.15,749.383963,0.056306,
0.15,749.383963,0.05776,
0.15,749.383963,0.059511,
0.15,749.383963,0.05903,
0.15,749.383963,0.056609,
0.15,749.383963,0.064299,
0.15,749.383963,0.062105,
0.15,749.383963,0.059137,
0.15,749.383963,0.058254,
0.15,749.383963,0.057531,
0.15,749.383963,0.059266,
0.15,749.383963,0.05895,
0.15,749.383963,0.05847,
0.15,749.383963,0.064675,
0.15,749.383963,0.057833,
0.15,749.383963,0.058318,
0.15,749.383963,0.05673,
0.15,749.383963,0.058103,
0.15,749.383963,0.058767,
0.15,749.383963,0.057629,
0.15,749.383963,0.057685,
0.15,749.383963,0.062786,
0.15,749.383963,0.063006,
0.15,749.383963,0.054234,
0.15,749.383963,0.052322,
0.15,749.383963,0.056029,
0.15,749.383963,0.055844,
0.15,749.383963,0.054027,
0.15,749.383963,0.057644,
0.15,749.383963,0.05597,
0.15,749.383963,0.056627,
0.15,749.383963,0.058066,
0.15,749.383963,0.058584,
0.15,749.383963,0.056267,
0.15,749.383963,0.054296,
0.15,749.383963,0.056585,
0.15,749.383963,0.056391,
0.15,749.383963,0.056532,
0.15,749.383963,0.062339,
0.15,749.383963,0.051871,
0.15,749.383963,0.054872,
0.15,749.383963,0.056542,
